"etapa";"grid";"nombre";"telefono";"direccion";"provincia";"ciudad";"barrio";"visitas_realizadas";"visita_efectiva";"saliente_efectivo";"sticker_efectivo";"motivo_de_rechazo";"comentarios";"foto1";"foto2";"fecha"
81;HTKS11;"Don Benicio 579";5493516763486;"Pje. Nicolás Levalle 3675, X5006FDC Córdoba, Argentina -";Córdoba;Córdoba;Mirador;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113517_69ee34ee76fd5.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113517_69ee34ee77467.jpg"")";2026-04-26
81;4MMAAL;"Debarrrio - Martin Garcia";5493515133224;"MARTIN GARCIA 556 Piso:P B Dpto:LOCAL -";Córdoba;Córdoba;"San Martín";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113518_69ee3047e8071.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113518_69ee3047e87cd.jpg"")";2026-04-26
81;4MMAS5;"Debarrrio Duarte Quiros.";5493517619093;"Duarte Quirós 3135 -";Córdoba;Córdoba;"Alto Alberdi";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113519_69ee2864362cf.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113519_69ee28643699a.jpg"")";2026-04-26
81;4MMYTW;"Lomitos Cba - Sur";5493515215800;"Bernardo O'Higgins 3496 -";Córdoba;Córdoba;"Jardín Espinosa";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113520_69ee35cfa63db.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113520_69ee35cfa6ec8.jpg"")";2026-04-26
81;HT6PZD;"Matza - General Paz.";543513860838;"La Plata 326 -";Córdoba;Córdoba;Juniors;1;SI;NO;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113521_69ee319042c45.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113521_69ee31904335a.jpg"")";2026-04-26
81;HTLS36;"Rotiseria 76 -";5493512469555;"Lisandro de la Torre 1961, X5006 Córdoba, Argentina -";Córdoba;Córdoba;"San Vicente";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113522_69ee3528bf9f9.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113522_69ee3528c01b5.jpg"")";2026-04-26
81;HTHCAH;"Matza - Jard?n";5493513860838;"Av. Pablo Ricchieri 3347 -";Córdoba;Córdoba;"Jardín Espinosa";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113523_69ee36008bbb5.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113523_69ee36008c22f.jpg"")";2026-04-26
81;HT6CR7;Glass;5493512057481;"Fructuoso Rivera 260 Local 6 , 7, X5000 Córdoba, Argentina -";Córdoba;Córdoba;Güemes;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113524_69ee2cd6c0f9d.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113524_69ee2cd6c166b.jpg"")";2026-04-26
81;4MM0GC;"Lomito Cba";5492645897217;"AV.PUEYRREDON 253 -";Córdoba;Córdoba;Güemes;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113525_69ee2d0a0df1e.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113525_69ee2d0a0e0de.jpg"")";2026-04-26
81;HTEBK6;"Dupla Burger";5493518597732;"Pablo Ardizzone 7164, X5003 Córdoba, Argentina -";Córdoba;Córdoba;"Parque Don Bosco";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113526_69ee256511a10.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113526_69ee256512098.jpg"")";2026-04-26
81;HZLILA;Saimon.;543513103914;"Av. Don Bosco 4668, X5002 Córdoba -";Córdoba;Córdoba;"Ampliación Las Palmas";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113527_69ee2464dbe77.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113527_69ee2464dc3dc.jpg"")";2026-04-26
81;457226;"Morfá - Urca";5493512166265;"Avenida Menéndez Pidal 3505 -";Córdoba;Córdoba;"Parque Tablada";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113528_69ee27c4837fd.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113528_69ee27c483df7.jpg"")";2026-04-26
81;HTWYKY;"Cremolatti Cofico 761";5493513522574;"Jujuy 1492, Ciudad de Córdoba, Provincia de Córdoba, Argentina -";Córdoba;Córdoba;"Alta Córdoba";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113529_69ee30cfd67af.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113529_69ee30cfd7f28.jpg"")";2026-04-26
81;HTZJI0;"Glazé - Córdoba";5493518529228;"27 de Abril 245 Edificio Catedral Departamento 10 A (entre Velez Sarsfield y Belgrano), X5000 Córdoba, Argentina -";Córdoba;Córdoba;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113530_69ee2b375c2f2.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113530_69ee2b375cb2c.jpg"")";2026-04-26
81;HA9M6L;"Minga Lomos &amp; Burgers.";5493515630340;"Molleyaco 8091 -";Córdoba;Córdoba;"Cerro Norte";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113531_69ee26b5c8f7f.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113531_69ee26b5c9602.jpg"")";2026-04-26
81;HTW0NQ;"Abba Comedor Y Postres";5493513576506;"sicilia 4242 -";Córdoba;Córdoba;"Los Olmos";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113532_69ee37435e6a1.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113532_69ee37435eb0d.jpg"")";2026-04-26
81;HTZJXV;"Perico On Fire";5493517473983;"Avenida Patri 183 -";Córdoba;Córdoba;Yapeyú;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113533_69ee34503f1a1.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113533_69ee34503f7c5.jpg"")";2026-04-26
81;HTWFYC;"Pan Y Tabla";5492966503436;"Av. Maipú 238, X5000 Córdoba, Argentina -";Córdoba;Córdoba;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113534_69ee2a425dcaa.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113534_69ee2a425e2fd.jpg"")";2026-04-26
81;HTLC41;"Crudo Caseros";5493515188345;"Caseros 2, X5000 Córdoba, Argentina -";Córdoba;Córdoba;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113535_69ee2baced132.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113535_69ee2baced625.jpg"")";2026-04-26
81;HP5P4B;"Hilos Bar.";5493517682014;"Juan Larrea 1518, X5000 Córdoba, Argentina -";Córdoba;Córdoba;Juniors;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113536_69ee3274bc5e0.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113536_69ee3274bcd4a.jpg"")";2026-04-26
81;HTZPM1;"El Vergel - Valle Escondido";543516667500;"Mahatma ghandi 71 -";Córdoba;Córdoba;"Parque Don Bosco";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113537_69ee24d1c8206.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113537_69ee24d1c88d4.jpg"")";2026-04-26
81;HZ1R2O;"Cepa Salteña -";5493513742318;"27 de Abril 616 -";Córdoba;Córdoba;Alberdi;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113538_69ee2a988885c.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113538_69ee2a9888f8e.jpg"")";2026-04-26
81;HTZ156;"Big Joe's - Nueva Córdoba";5493518197445;"Av. Ambrosio Olmos 642, X5000 Córdoba, Argentina -";Córdoba;Córdoba;"Nueva Córdoba";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113539_69ee2d6776c76.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113539_69ee2d677712b.jpg"")";2026-04-26
81;HTWBBO;"Tano Focaccias";5493516702515;"4 de Febrero 1884, X5004 Córdoba, Argentina -";Córdoba;Córdoba;"Bajo General Paz";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113540_69ee33c94bbe6.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113540_69ee33c94c1b7.jpg"")";2026-04-26
81;HTGGP6;"Amour Glasé";5493513906540;"Republica de Siria 652, 5001 C?rdoba, Argentina -";Córdoba;Córdoba;"General Bustos";1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113541_69ee2fc91ca4b.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113541_69ee2fc91d1db.jpg"")";2026-04-26
81;HTZCQQ;Sc.;5493516506547;"Independencia 384, X5000 CÃ³rdoba, Argentina -";Córdoba;Córdoba;Centro;1;SI;SI;SI;;;"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113542_69ee2c1e26142.jpg"")";"=HYPERLINK(""http://pedidosyatrade.com.ar/upload/cdba/113542_69ee2c1e2685c.jpg"")";2026-04-26
