periodo,producto_id,tipo_material,grid,nombre,telefono,direccion,barrio,ciudad,provincia,estado,visitas_realizadas,visita_efectiva,producto_efectivo,logo_actualizado,motivo_de_rechazo,competencia_marca,competencia_material,comentarios,foto1,foto2,fecha
81,1,sticker,HTZOW1,Buffet Torino,5491122921968,"Zuviría 4659, C1439 Buenos Aires, Argentina -",Villa Lugano,Buenos Aires,,Visitado,1,NO,NO,NO,"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)",,,Casa,113240_69ed03bfd63a0.jpg,,2026-04-25
81,2,saliente,HTZOW1,Buffet Torino,5491122921968,"Zuviría 4659, C1439 Buenos Aires, Argentina -",Villa Lugano,Buenos Aires,,Visitado,1,NO,NO,NO,"NO ES LOCAL ABIERTO A PÚBLICO (CASA, EDIFICIO, COCINA CIEGA)",,,Casa,113240_69ed03bfd63a0.jpg,,2026-04-25
81,1,sticker,HTK6DO,La Pizzeteria Av Cordoba,5491132745070,1541 Av. Córdoba -,Recoleta,Buenos Aires,,Visitado,1,SI,SI,SI,NO QUIERE O PUEDE PERFORABLE,,,No puede perforar,113241_69ed4ad5878bc.jpg,113241_69ed4ad588309.jpg,2026-04-25
81,2,saliente,HTK6DO,La Pizzeteria Av Cordoba,5491132745070,1541 Av. Córdoba -,Recoleta,Buenos Aires,,Visitado,1,SI,NO,NO,NO QUIERE O PUEDE PERFORABLE,,,No puede perforar,113241_69ed4ad5878bc.jpg,113241_69ed4ad588309.jpg,2026-04-25
81,1,sticker,HTK7Z5,Mr Tasty - Villa Crespo Ii,5491133174037,"Av. Corrientes 6042, C1414 Cdad Autonoma de Buenos Aires -",Villa Crespo,Buenos Aires,,Visitado,1,NO,NO,NO,NO QUIERE O PUEDE PERFORABLE,,,Pared de marmol sin vidriera oara sticker,113242_69ebdc3bb4545.jpg,,2026-04-24
81,2,saliente,HTK7Z5,Mr Tasty - Villa Crespo Ii,5491133174037,"Av. Corrientes 6042, C1414 Cdad Autonoma de Buenos Aires -",Villa Crespo,Buenos Aires,,Visitado,1,NO,NO,NO,NO QUIERE O PUEDE PERFORABLE,,,Pared de marmol sin vidriera oara sticker,113242_69ebdc3bb4545.jpg,,2026-04-24
81,1,sticker,HT678Y,Pollos Trak Uriarte,5491162598980,Uriarte 1901 -,Palermo,Buenos Aires,,Visitado,1,SI,SI,SI,,,,,113243_69ec1009f2971.jpg,113243_69ec1009f335a.jpg,2026-04-24
81,2,saliente,HT678Y,Pollos Trak Uriarte,5491162598980,Uriarte 1901 -,Palermo,Buenos Aires,,Visitado,1,SI,SI,SI,,,,,113243_69ec1009f2971.jpg,113243_69ec1009f335a.jpg,2026-04-24
81,1,sticker,HTKPBP,Via Giovanni Heladeria,5491136693769,"Malabia 294, C1414 Buenos Aires, Argentina -",Villa Crespo,Buenos Aires,,Visitado,1,NO,NO,NO,NO TIENE ESPACIO PARA COLOCAR,,,Tiene backligth viejo en buen estado Sin espacio para sticker,113244_69ebd3a38a252.jpg,,2026-04-24
81,2,saliente,HTKPBP,Via Giovanni Heladeria,5491136693769,"Malabia 294, C1414 Buenos Aires, Argentina -",Villa Crespo,Buenos Aires,,Visitado,1,NO,SI,SI,NO TIENE ESPACIO PARA COLOCAR,,,Tiene backligth viejo en buen estado Sin espacio para sticker,113244_69ebd3a38a252.jpg,,2026-04-24
